Lines	Plant_ID	Treatment (hrs)	X (uM per px)	Y (uM per px)	Z (uM per px)
DEX_CK	P9	48	0.22	0.22	1
DEX_CK	P9	72	0.22	0.22	1
DEX_CK	P9	96	0.22	0.22	1
DEX_CK	P9	120	0.22	0.22	2
DEX_CK	P9	144	0.22	0.22	2
DEX_CK	P15	48	0.22	0.22	1
DEX_CK	P15	72	0.22	0.22	1
DEX_CK	P15	96	0.22	0.22	1
DEX_CK	P15	120	0.32	0.32	2
DEX_CK	P15	144	0.32	0.32	2
DEX_CK	P13	24	0.22	0.22	1
DEX_CK	P13	48	0.22	0.22	1
DEX_CK	P13	72	0.22	0.22	1
DEX_CK	P13	96	0.22	0.22	1
DEX_CK	P13	120	0.22	0.22	1
DEX_CK	P10	48	0.22	0.22	1
DEX_CK	P10	72	0.22	0.22	1
DEX_CK	P10	96	0.22	0.22	1
DEX_CK	P10	120	0.22	0.22	2
DEX_CK	P10	144	0.32	0.32	2
