Lines	Plant_ID	Treatment (hrs)	X (uM per px)	Y (uM per px)	Z (uM per px)
DEX_WUS	P1	12	0.22	0.22	1.5
DEX_WUS	P1	24	0.22	0.22	1.5
DEX_WUS	P1	36	0.22	0.22	1.5
DEX_WUS	P1	48	0.22	0.22	1.5
DEX_WUS	P1	60	0.22	0.22	1.5
DEX_WUS	P1	72	0.22	0.22	1.5
DEX_WUS	P1	84	0.22	0.22	1.5
DEX_WUS	P1	108	0.22	0.22	1.5
DEX_WUS	P1	120	0.22	0.22	1.5
DEX_WUS	P1	132	0.22	0.22	1.5
DEX_WUS	P2	12	0.22	0.22	1.5
DEX_WUS	P2	24	0.22	0.22	1.5
DEX_WUS	P2	36	0.22	0.22	1.5
DEX_WUS	P2	48	0.22	0.22	1.5
DEX_WUS	P2	60	0.22	0.22	1.5
DEX_WUS	P2	72	0.22	0.22	1.5
DEX_WUS	P2	84	0.22	0.22	1.5
DEX_WUS	P2	108	0.22	0.22	1.5
DEX_WUS	P2	120	0.22	0.22	1.5
DEX_WUS	P4	12	0.22	0.22	1.5
DEX_WUS	P4	24	0.22	0.22	1.5
DEX_WUS	P4	36	0.22	0.22	1.5
DEX_WUS	P4	48	0.22	0.22	1.5
DEX_WUS	P4	60	0.22	0.22	1.5
DEX_WUS	P4	72	0.22	0.22	1.5
DEX_WUS	P4	84	0.22	0.22	1.5
DEX_WUS	P4	108	0.22	0.22	1.5
DEX_WUS	P4	120	0.22	0.22	1.5
DEX_WUS	P4	132	0.22	0.22	1.5
DEX_WUS	P5	12	0.22	0.22	1.5
DEX_WUS	P5	24	0.22	0.22	1.5
DEX_WUS	P5	36	0.22	0.22	1.5
DEX_WUS	P5	48	0.22	0.22	1.5
DEX_WUS	P5	60	0.22	0.22	1.5
DEX_WUS	P5	72	0.22	0.22	1.5
DEX_WUS	P5	84	0.22	0.22	1.5
DEX_WUS	P5	108	0.22	0.22	1.5
DEX_WUS	P5	120	0.22	0.22	1.5
DEX_WUS	P5	132	0.22	0.22	1.5
