Nickname,Genotype,,microm/pixel,microm/pixel,,,microm,microm,,,,,,,
version,,image #,(X) pixel length,(Y) pixel length,# of x pixels,# of y pixels,image size (X),image size (Y),,,,,,,
wildtype,Ler,1,0.189209,0.189209,1024,1024,193.75,193.75,,,,,,kwr 10,wus1 WT CZ-WUS CZ-dDDK-AAR1-GR 
wildtype,Ler,2,0.189209,0.189209,1024,1024,193.75,193.75,,,,,,ap 08,
wildtype,Ler,3,0.189209,0.189209,1024,1024,193.75,193.75,,,,,,kwr 002,
wildtype,Ler,4,0.252275391,0.252275391,1024,1024,258.33,258.33,,,,,,mock 007 ok,WUS Mock BAP NAA 4 hours 2-10-17
wildtype,Ler,5,0.252275391,0.252275391,1024,1024,258.33,258.33,,,,,,Mock 009 OK,
wildtype,Ler,6,0.252275391,0.252275391,1024,1024,258.33,258.33,,,,,,Mock 014 OK,
wildtype,Ler,7,0.252275391,0.252275391,1024,1024,258.33,258.33,,,,,,mock_24hr_008,pWUS-eGFP-WUS
wildtype,Ler,8,0.189209,0.189209,1024,1024,193.75,193.75,,,,,,wild-type kwr _008,Day2 wus1 WT CZ-WUS CZ
wildtype,Ler,9,0.189209,0.189209,1024,1024,193.75,193.75,,,,,,wild-type kwr _010,
wildtype,Ler,10,0.189209,0.189209,1024,1024,193.75,193.75,,,,,,wus1 kwr-006,
wildtype,Ler,10,,,,,,,,,,,,,
wildtype,Ler,10,,,,,,,,,,,,,
wildtype,Ler,10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,5.285160854,,,,,,,,,
,,,,,,,,,864,6,,,,,
,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,34.15,,,,,,,,,,,,
,,,32.89,1.26,1.26,,,,,,,,,,
,,,31.64,1.25,2.52,,,,,,,,,,
,,,30.38,1.26,3.78,,,,,,,,,,
,,,29.12,1.26,5.04,,,,,,,,,,
,,,27.86,1.26,6.3,,,,,,,,,,
,,,26.6,1.26,7.56,,,,,,,,,,
,,,25.34,1.26,8.82,,,,,,,,,,
,,,24.08,1.26,10.08,,,,,,,,,,
,,,22.82,1.26,11.34,,,,,,,,,,
